O*NET-SOC Code,Title,Task,Automation_Score,High_Risk,Industry
11-2011.00,Advertising and Promotions Managers,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Represent company at trade association meetings to promote products.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Direct and coordinate product research and development.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Analyze marketing or sales trends to forecast future conditions.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Analyze the effectiveness of marketing tactics or channels.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",2.01,0,Management
11-2021.00,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",2.1,1,Management
11-2021.00,Marketing Managers,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",2.1,1,Management
11-2021.00,Marketing Managers,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",2.1,1,Management
11-2021.00,Marketing Managers,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",2.1,1,Management
11-2021.00,Marketing Managers,Compile lists describing product or service offerings.,2.1,1,Management
11-2021.00,Marketing Managers,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",2.1,1,Management
11-2021.00,Marketing Managers,"Consult with product development personnel on product specifications, such as design, color, or packaging.",2.1,1,Management
11-2021.00,Marketing Managers,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",2.1,1,Management
11-2021.00,Marketing Managers,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",2.1,1,Management
11-2021.00,Marketing Managers,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",2.1,1,Management
11-2021.00,Marketing Managers,"Initiate market research studies, or analyze their findings.",2.1,1,Management
11-2021.00,Marketing Managers,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",2.1,1,Management
11-2021.00,Marketing Managers,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,2.1,1,Management
11-2021.00,Marketing Managers,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,2.1,1,Management
11-2021.00,Marketing Managers,Conduct economic or commercial surveys to identify potential markets for products or services.,2.1,1,Management
11-2021.00,Marketing Managers,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",2.1,1,Management
11-2021.00,Marketing Managers,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",2.1,1,Management
11-2021.00,Marketing Managers,Select products or accessories to be displayed at trade or special production shows.,2.1,1,Management
11-2021.00,Marketing Managers,Develop business cases for environmental marketing strategies.,2.1,1,Management
11-2021.00,Marketing Managers,"Integrate environmental information into product or company marketing strategies, policies, or activities.",2.1,1,Management
11-2022.00,Sales Managers,Oversee regional and local sales managers and their staffs.,2.26,1,Management
11-2022.00,Sales Managers,Resolve customer complaints regarding sales and service.,2.26,1,Management
11-2022.00,Sales Managers,Monitor customer preferences to determine focus of sales efforts.,2.26,1,Management
11-2022.00,Sales Managers,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",2.26,1,Management
11-2022.00,Sales Managers,Review operational records and reports to project sales and determine profitability.,2.26,1,Management
11-2022.00,Sales Managers,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",2.26,1,Management
11-2022.00,Sales Managers,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",2.26,1,Management
11-2022.00,Sales Managers,Determine price schedules and discount rates.,2.26,1,Management
11-2022.00,Sales Managers,Prepare budgets and approve budget expenditures.,2.26,1,Management
11-2022.00,Sales Managers,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,2.26,1,Management
11-2022.00,Sales Managers,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,2.26,1,Management
11-2022.00,Sales Managers,Represent company at trade association meetings to promote products.,2.26,1,Management
11-2022.00,Sales Managers,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,2.26,1,Management
11-2022.00,Sales Managers,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",2.26,1,Management
11-2022.00,Sales Managers,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",2.26,1,Management
11-2022.00,Sales Managers,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",2.26,1,Management
11-2022.00,Sales Managers,Direct foreign sales and service outlets of an organization.,2.26,1,Management
11-2033.00,Fundraising Managers,Develop strategies to encourage new or increased contributions.,1.69,0,Management
11-2033.00,Fundraising Managers,Manage fundraising budgets.,1.69,0,Management
11-2033.00,Fundraising Managers,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,1.69,0,Management
11-2033.00,Fundraising Managers,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",1.69,0,Management
11-2033.00,Fundraising Managers,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",1.69,0,Management
11-2033.00,Fundraising Managers,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",1.69,0,Management
11-2033.00,Fundraising Managers,Compile or develop materials to submit to granting or other funding organizations.,1.69,0,Management
11-2033.00,Fundraising Managers,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",1.69,0,Management
11-2033.00,Fundraising Managers,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",1.69,0,Management
11-2033.00,Fundraising Managers,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",1.69,0,Management
11-2033.00,Fundraising Managers,Formulate policies and procedures related to fundraising programs.,1.69,0,Management
11-2033.00,Fundraising Managers,"Assign, supervise, and review the activities of fundraising staff.",1.69,0,Management
11-2033.00,Fundraising Managers,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,1.69,0,Management
11-2033.00,Fundraising Managers,"Design and edit promotional publications, such as brochures.",1.69,0,Management
11-2033.00,Fundraising Managers,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",1.69,0,Management
11-2033.00,Fundraising Managers,"Produce films and other video products, regulate their distribution, and operate film library.",1.69,0,Management
11-3012.00,Administrative Services Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,2.14,1,Management
11-3012.00,Administrative Services Managers,Set goals and deadlines for the department.,2.14,1,Management
11-3012.00,Administrative Services Managers,"Acquire, distribute and store supplies.",2.14,1,Management
11-3012.00,Administrative Services Managers,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",2.14,1,Management
11-3012.00,Administrative Services Managers,Conduct classes to teach procedures to staff.,2.14,1,Management
11-3012.00,Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.",2.14,1,Management
11-3012.00,Administrative Services Managers,Hire and terminate clerical and administrative personnel.,2.14,1,Management
11-3012.00,Administrative Services Managers,"Direct or coordinate the supportive services department of a business, agency, or organization.",2.14,1,Management
11-3012.00,Administrative Services Managers,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",2.14,1,Management
11-3012.00,Administrative Services Managers,Develop operational standards and procedures for the work unit or department.,2.14,1,Management
11-3012.00,Administrative Services Managers,Establish work procedures or schedules to organize the daily work of administrative staff.,2.14,1,Management
11-3012.00,Administrative Services Managers,Learn to operate new office technologies as they are developed and implemented.,2.14,1,Management
11-3012.00,Administrative Services Managers,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.",2.14,1,Management
11-3012.00,Administrative Services Managers,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.",2.14,1,Management
11-3012.00,Administrative Services Managers,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",2.14,1,Management
11-3012.00,Administrative Services Managers,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.",2.14,1,Management
11-3012.00,Administrative Services Managers,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.,2.14,1,Management
11-3012.00,Administrative Services Managers,Supervise administrative staff and provide training and orientation to new staff.,2.14,1,Management
11-3013.00,Facilities Managers,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",2.02,0,Management
11-3013.00,Facilities Managers,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",2.02,0,Management
11-3013.00,Facilities Managers,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",2.02,0,Management
11-3013.00,Facilities Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.",2.02,0,Management
11-3013.00,Facilities Managers,"Participate in architectural and engineering planning and design, including space and installation management.",2.02,0,Management
11-3013.00,Facilities Managers,Set goals and deadlines for the department.,2.02,0,Management
11-3013.00,Facilities Managers,Conduct classes to teach procedures to staff.,2.02,0,Management
11-3013.00,Facilities Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,2.02,0,Management
11-3013.00,Facilities Managers,"Acquire, distribute and store supplies.",2.02,0,Management
11-3013.00,Facilities Managers,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",2.02,0,Management
11-3013.00,Facilities Managers,Manage leasing of facility space.,2.02,0,Management
11-3013.01,Security Managers,Develop budgets for security operations.,2.21,1,Management
11-3013.01,Security Managers,"Identify, investigate, or resolve security breaches.",2.21,1,Management
11-3013.01,Security Managers,"Plan, direct, or coordinate security activities to safeguard company employees, guests, or others on company property.",2.21,1,Management
11-3013.01,Security Managers,Direct or participate in emergency management and contingency planning.,2.21,1,Management
11-3013.01,Security Managers,"Respond to medical emergencies, bomb threats, fire alarms, or intrusion alarms, following emergency response procedures.",2.21,1,Management
11-3013.01,Security Managers,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",2.21,1,Management
11-3013.01,Security Managers,"Create or implement security standards, policies, and procedures.",2.21,1,Management
11-3013.01,Security Managers,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,2.21,1,Management
11-3013.01,Security Managers,"Supervise or provide leadership to subordinate security professionals, performing activities such as hiring, investigating applicants' backgrounds, training, assigning work, evaluating performance, or disciplining.",2.21,1,Management
11-3013.01,Security Managers,"Develop, implement, manage, or evaluate policies and methods to protect personnel against harassment, threats, or violence.",2.21,1,Management
11-3013.01,Security Managers,"Develop, recommend, or manage security procedures for operations or processes, such as security call centers, access control, and reporting tools.",2.21,1,Management
11-3013.01,Security Managers,Plan security for special and high-risk events.,2.21,1,Management
11-3013.01,Security Managers,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",2.21,1,Management
11-3013.01,Security Managers,Conduct physical examinations of property to ensure compliance with security policies and regulations.,2.21,1,Management
11-3013.01,Security Managers,"Monitor security policies, programs or procedures to ensure compliance with internal security policies, or applicable government security requirements, policies, and directives.",2.21,1,Management
11-3013.01,Security Managers,"Coordinate security operations or activities with public law enforcement, fire and other agencies.",2.21,1,Management
11-3013.01,Security Managers,"Monitor and ensure a sound, ethical environment.",2.21,1,Management
11-3013.01,Security Managers,"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives.",2.21,1,Management
11-3013.01,Security Managers,"Communicate security status, updates, and actual or potential problems, using established protocols.",2.21,1,Management
11-3013.01,Security Managers,Train subordinate security professionals or other organization members in security rules and procedures.,2.21,1,Management
11-3013.01,Security Managers,"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews.",2.21,1,Management
11-3013.01,Security Managers,"Prepare reports or make presentations on internal investigations, losses, or violations of regulations, policies and procedures.",2.21,1,Management
11-3013.01,Security Managers,"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations.",2.21,1,Management
11-3013.01,Security Managers,"Purchase security-related supplies, equipment, or technology.",2.21,1,Management
11-3013.01,Security Managers,"Develop, arrange for, perform, or assess executive protection activities to reduce security risks.",2.21,1,Management
11-3013.01,Security Managers,Review financial reports to ensure efficiency and quality of security operations.,2.21,1,Management
11-3013.01,Security Managers,"Develop, conduct, support, or assist in governmental reviews, internal corporate evaluations, or assessments of the overall effectiveness of facility and personnel security processes.",2.21,1,Management
11-3013.01,Security Managers,Support efforts to reduce substance abuse or other illegal activities in the workplace.,2.21,1,Management
11-3021.00,Computer and Information Systems Managers,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Provide users with technical support for computer problems.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Stay abreast of advances in technology.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Develop and interpret organizational goals, policies, and procedures.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Control operational budget and expenditures.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,Purchase necessary equipment.,2.56,1,Management
11-3021.00,Computer and Information Systems Managers,"Manage backup, security and user help systems.",2.56,1,Management
11-3031.00,Financial Managers,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,2.8,1,Management
11-3031.00,Financial Managers,Oversee the flow of cash or financial instruments.,2.8,1,Management
11-3031.00,Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",2.8,1,Management
11-3031.00,Financial Managers,Recruit staff members.,2.8,1,Management
11-3031.00,Financial Managers,Evaluate data pertaining to costs to plan budgets.,2.8,1,Management
11-3031.00,Financial Managers,Oversee training programs.,2.8,1,Management
11-3031.00,Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",2.8,1,Management
11-3031.00,Financial Managers,Communicate with stockholders or other investors to provide information or to raise capital.,2.8,1,Management
11-3031.00,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,2.8,1,Management
11-3031.00,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",2.8,1,Management
11-3031.00,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",2.8,1,Management
11-3031.00,Financial Managers,"Examine, evaluate, or process loan applications.",2.8,1,Management
11-3031.00,Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",2.8,1,Management
11-3031.00,Financial Managers,Network within communities to find and attract new business.,2.8,1,Management
11-3031.00,Financial Managers,Prepare operational or risk reports for management analysis.,2.8,1,Management
11-3031.00,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,2.8,1,Management
11-3031.00,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,2.8,1,Management
11-3031.01,Treasurers and Controllers,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,2.58,1,Management
11-3031.01,Treasurers and Controllers,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",2.58,1,Management
11-3031.01,Treasurers and Controllers,"Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.",2.58,1,Management
11-3031.01,Treasurers and Controllers,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",2.58,1,Management
11-3031.01,Treasurers and Controllers,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",2.58,1,Management
11-3031.01,Treasurers and Controllers,"Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.",2.58,1,Management
11-3031.01,Treasurers and Controllers,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",2.58,1,Management
